Instance,Opt Gap,Time(s)
inst_450commods_18_5.txt,0.003570033,0.4531351
inst_450commods_24_1.txt,0.007800444,1.0324543
inst_450commods_24_2.txt,0.009045453,1.6633911
inst_450commods_24_3.txt,0.009976061,2.3449451
inst_450commods_24_4.txt,0.009156265,5.1207012
inst_450commods_24_5.txt,0.009591347,1.6360539
inst_450commods_30_1.txt,0.008078573,1.2466201
inst_450commods_30_2.txt,0.007672294,1.3021981
inst_450commods_30_3.txt,0.009644216,1.4555067
inst_450commods_30_4.txt,0.007054615,4.0547992
inst_450commods_30_5.txt,0.004196424,1.7821449
inst_450commods_36_1.txt,0.007580868,3.1017733
inst_450commods_36_2.txt,8.76E-04,1.0882423
inst_450commods_36_3.txt,0.004920174,1.6731175
inst_450commods_36_4.txt,0.005757743,4.7681501
inst_450commods_36_5.txt,0.008519108,1.2946122
inst_450commods_42_1.txt,0.006830157,1.197781
inst_450commods_42_2.txt,0.009176101,2.9194747
inst_450commods_42_3.txt,0.009953565,2.6816733
inst_450commods_42_4.txt,0.009265681,3.1091084
inst_450commods_42_5.txt,0.00992149,1.7250813
inst_450commods_48_1.txt,0.005961988,2.1628665
inst_450commods_48_2.txt,0.008364915,4.9127555
inst_450commods_48_3.txt,0.003267619,1.859886
inst_450commods_48_4.txt,0.007956055,15.5737195
inst_450commods_48_5.txt,0.005071007,1.6816557
inst_450commods_6_1.txt,0.001348965,0.4062403
inst_450commods_6_2.txt,9.22E-16,0.434515
inst_450commods_6_3.txt,0.004871561,0.4219166
inst_450commods_6_4.txt,0.004555447,0.4541827
inst_450commods_6_5.txt,0.002483537,0.4217945
inst_500commods_12_1.txt,1.58E-15,0.4799026
inst_500commods_12_2.txt,5.75E-04,0.551173
inst_500commods_12_3.txt,5.80E-04,0.5769422
inst_500commods_12_4.txt,0,0.5282212
inst_500commods_12_5.txt,0.002349645,0.5069994
inst_500commods_18_1.txt,0,0.4504614
inst_500commods_18_2.txt,0,0.5177934
inst_500commods_18_3.txt,0.007810323,0.641824
inst_500commods_18_4.txt,0.003353114,0.6395132
inst_500commods_18_5.txt,0.003909988,0.6138964
inst_500commods_24_1.txt,0.009833201,1.9602574
inst_500commods_24_2.txt,0.00945817,1.8912205
inst_500commods_24_3.txt,0.009370981,5.6659859
inst_500commods_24_4.txt,0.007703721,11.6147475
inst_500commods_24_5.txt,0.009661836,40.0753626
inst_500commods_30_1.txt,0.009914564,2.2777353
inst_500commods_30_2.txt,0.009162596,2.756831
inst_500commods_30_3.txt,0.009618694,6.4195918
inst_500commods_30_4.txt,0.004309729,3.045857
inst_500commods_30_5.txt,0.008418077,3.5966805
inst_500commods_36_1.txt,0.008937819,1.5924798
inst_500commods_36_2.txt,0.00901755,3.8580268
inst_500commods_36_3.txt,0.009546466,2.6748822
inst_500commods_36_4.txt,0.007064542,2.5974013
inst_500commods_36_5.txt,0.007490017,1.5575057
inst_500commods_42_1.txt,0.009993844,2.0297774
inst_500commods_42_2.txt,0.007988326,2.1255986
inst_500commods_42_3.txt,0.00699097,1.8762979
inst_500commods_42_4.txt,0.008817814,4.8161825
inst_500commods_42_5.txt,0.008400879,4.9397252
inst_500commods_48_1.txt,0.006225673,2.3988287
inst_500commods_48_2.txt,0.008304813,3.9828089
inst_500commods_48_3.txt,0.00294936,11.6804421
inst_500commods_48_4.txt,0.005358711,3.3628602
inst_500commods_48_5.txt,0.007026809,2.7609027
inst_500commods_6_1.txt,0,0.546981
inst_500commods_6_2.txt,0.008005383,0.793129
inst_500commods_6_3.txt,0.002915856,0.5562903
inst_500commods_6_4.txt,0.001206764,0.5179174
inst_500commods_6_5.txt,0.004428297,0.7402274
inst_550commods_12_1.txt,0.001673686,0.6227449
inst_550commods_12_2.txt,5.90E-04,0.6290575
inst_550commods_12_3.txt,0,0.5603361
inst_550commods_12_4.txt,0.00388689,0.9007983
inst_550commods_12_5.txt,0.004025655,0.5686164
inst_550commods_18_1.txt,0.007689108,0.5361858
inst_550commods_18_2.txt,0.003359995,0.7021371
inst_550commods_18_3.txt,0.001240378,1.3027608
inst_550commods_18_4.txt,0.00121155,1.1327461
inst_550commods_18_5.txt,0.004253644,0.8230114
inst_550commods_24_1.txt,0.009212625,3.2650302
inst_550commods_24_2.txt,0.003685778,24.9025038
inst_550commods_24_3.txt,0.007241564,21.312478
inst_550commods_24_4.txt,0.006585239,5.6247622
inst_550commods_24_5.txt,0.007873038,5.6418175
inst_550commods_30_1.txt,0.007143925,5.4980916
inst_550commods_30_2.txt,0.008486941,5.3925891
inst_550commods_30_3.txt,0.007783023,17.1310506
inst_550commods_30_4.txt,0.004536448,17.2843609
inst_550commods_30_5.txt,0.008710619,20.4047951
inst_550commods_36_1.txt,0.009212275,3.4381773
inst_550commods_36_2.txt,0.009662209,9.7509126
inst_550commods_36_3.txt,0.008714685,2.1426377
inst_550commods_36_4.txt,0.009901295,3.5144332
inst_550commods_36_5.txt,0.009447074,19.0352546
inst_550commods_42_1.txt,0.008519615,4.6738722
inst_550commods_42_2.txt,0.009687437,5.5238405
inst_550commods_42_3.txt,0.006270196,3.3904346
inst_550commods_42_4.txt,0.009463201,17.1674666
inst_550commods_42_5.txt,0.008362814,13.4122108
inst_550commods_48_1.txt,0.009839496,1.6665034
inst_550commods_48_2.txt,0.008385814,4.2082622
inst_550commods_48_3.txt,0.004634006,2.7648714
inst_550commods_48_4.txt,0.008846137,8.2193338
inst_550commods_48_5.txt,0.005635655,7.9611243
inst_550commods_6_1.txt,0.003066687,0.5139635
inst_550commods_6_2.txt,0.00592613,0.6116184
inst_550commods_6_3.txt,0.002500683,0.5627635
inst_550commods_6_4.txt,0.00202601,0.6384381
inst_550commods_6_5.txt,0.003434373,0.5871322
inst_600commods_12_1.txt,0.001435172,0.589334
inst_600commods_12_2.txt,0.005571123,0.7269729
inst_600commods_12_3.txt,0.003894548,0.5931981
inst_600commods_12_4.txt,0,0.6245923
inst_600commods_12_5.txt,0.008221893,0.6767975
inst_600commods_18_1.txt,0.004747562,0.6747018
inst_600commods_18_2.txt,0.001167851,0.9279074
inst_600commods_18_3.txt,0.003573,0.7131741
inst_600commods_18_4.txt,0.002921766,1.1117848
inst_600commods_18_5.txt,1.06E-15,0.6327403
inst_600commods_24_1.txt,0.005861656,12.7905384
inst_600commods_24_2.txt,0.009588166,5.6401513
inst_600commods_24_3.txt,0.004372357,14.6531606
inst_600commods_24_4.txt,0.007364857,19.0570606
inst_600commods_24_5.txt,0.00977466,32.9781276
inst_600commods_30_1.txt,0.007640829,14.6715896
inst_600commods_30_2.txt,0.009682907,22.8494932
inst_600commods_30_3.txt,0.008041661,42.7825222
inst_600commods_30_4.txt,0.007069437,9.4812449
inst_600commods_30_5.txt,0.008195154,4.1616013
inst_600commods_36_1.txt,0.007904637,31.764608
inst_600commods_36_2.txt,0.009851037,14.955437
inst_600commods_36_3.txt,0.008828009,18.2513952
inst_600commods_36_4.txt,0.006912066,16.4747295
inst_600commods_36_5.txt,0.008826496,25.3845585
inst_600commods_42_1.txt,0.009481865,12.3185763
inst_600commods_42_2.txt,0.00412957,16.1339208
inst_600commods_42_3.txt,0.004520866,18.9793349
inst_600commods_42_4.txt,0.007693653,5.8892147
inst_600commods_42_5.txt,0.009669485,16.6165087
inst_600commods_48_1.txt,0.009497917,24.8273552
inst_600commods_48_2.txt,0.00433468,19.8645704
inst_600commods_48_3.txt,0.006418919,23.4572835
inst_600commods_48_4.txt,0.002342592,6.9927139
inst_600commods_48_5.txt,0.00879147,6.6882579
inst_600commods_6_1.txt,4.78E-04,2.2818
inst_600commods_6_2.txt,0.008169462,0.7854633
inst_600commods_6_3.txt,0.005531761,0.676455
inst_600commods_6_4.txt,0.002729577,1.6586851
inst_600commods_6_5.txt,0.004598803,0.7522017
inst_650commods_12_1.txt,0.00297676,0.6193476
inst_650commods_12_2.txt,0.003962421,0.75575
inst_650commods_12_3.txt,0,0.7005928
inst_650commods_12_4.txt,0.007039757,2.7648052
inst_650commods_12_5.txt,0.002845082,0.6948121
inst_650commods_18_1.txt,0.001427829,0.6962133
inst_650commods_18_2.txt,0.003795128,0.7699699
inst_650commods_18_3.txt,9.87E-04,0.9765484
inst_650commods_18_4.txt,0.00366676,0.8334157
inst_650commods_18_5.txt,0.001936839,1.0600024
inst_650commods_24_1.txt,0.009353729,17.7421092
inst_650commods_24_2.txt,0.007285614,18.4036895
inst_650commods_24_3.txt,0.008871627,7.6272178
inst_650commods_24_4.txt,0.009911673,110.9417402
inst_650commods_24_5.txt,0.009468177,75.3037238
inst_650commods_30_1.txt,0.00633219,2.9581104
inst_650commods_30_2.txt,0.009571268,31.1303237
inst_650commods_30_3.txt,0.007790308,41.8320606
inst_650commods_30_4.txt,0.006515025,55.0403342
inst_650commods_30_5.txt,0.009472738,21.4086619
inst_650commods_36_1.txt,0.009315868,13.3138575
inst_650commods_36_2.txt,0.006154375,26.0579043
inst_650commods_36_3.txt,0.006418816,50.1092345
inst_650commods_36_4.txt,0.008913454,34.9212293
inst_650commods_36_5.txt,0.005518512,29.3754032
inst_650commods_42_1.txt,0.008926068,20.6721151
inst_650commods_42_2.txt,0.006302422,23.3814482
inst_650commods_42_3.txt,0.009509319,57.3306469
inst_650commods_42_4.txt,0.00703421,25.926528
inst_650commods_42_5.txt,0.008991988,51.5938314
inst_650commods_48_1.txt,0.005233491,28.8893256
inst_650commods_48_2.txt,0.007686646,6.842973
inst_650commods_48_3.txt,0.008258572,37.005318
inst_650commods_48_4.txt,0.008658827,12.0123997
inst_650commods_48_5.txt,0.009002027,37.1965348
inst_650commods_6_1.txt,0.009067028,0.7808936
inst_650commods_6_2.txt,0.007404521,0.7350532
inst_650commods_6_3.txt,0.001964575,0.6989876
inst_650commods_6_4.txt,0.002365003,0.750177
inst_650commods_6_5.txt,0.007368007,1.1318323
inst_700commods_12_1.txt,0.006733931,0.862036
inst_700commods_12_2.txt,0.002965898,0.8912172
inst_700commods_12_3.txt,0.0074027,2.9347509
inst_700commods_12_4.txt,0.004872053,2.9668762
inst_700commods_12_5.txt,0.002861959,1.4835
inst_700commods_18_1.txt,0.004100374,1.0207334
inst_700commods_18_2.txt,0.004957535,1.4259101
inst_700commods_18_3.txt,0.007326613,1.1707081
inst_700commods_18_4.txt,0.009871699,4.6391355
inst_700commods_18_5.txt,0.007037416,1.389058
inst_700commods_24_1.txt,0.005463699,56.868688
inst_700commods_24_2.txt,0.009429699,117.9770363
inst_700commods_24_3.txt,0.009127453,49.9643532
inst_700commods_24_4.txt,0.009616422,202.7033257
inst_700commods_24_5.txt,0.008528939,59.9408449
inst_700commods_30_1.txt,0.004383631,27.7429623
inst_700commods_30_2.txt,0.00633386,55.2621475
inst_700commods_30_3.txt,0.007907986,54.0458805
inst_700commods_30_4.txt,0.009065984,40.3095663
inst_700commods_30_5.txt,0.008472963,77.7341674
inst_700commods_36_1.txt,0.00460044,36.8342274
inst_700commods_36_2.txt,0.009991486,51.6897173
inst_700commods_36_3.txt,0.00991134,58.523141
inst_700commods_36_4.txt,0.009167118,22.312286
inst_700commods_36_5.txt,0.009325687,56.3573691
inst_700commods_42_1.txt,0.008920118,16.8279761
inst_700commods_42_2.txt,0.006216264,41.2215602
inst_700commods_42_3.txt,0.00405368,60.5659116
inst_700commods_42_4.txt,0.008867598,10.4041661
inst_700commods_42_5.txt,0.009495132,43.4174056
inst_700commods_48_1.txt,0.004224676,4.0149077
inst_700commods_48_2.txt,0.005798643,51.3293804
inst_700commods_48_3.txt,0.009596324,115.4160102
inst_700commods_48_4.txt,0.008965129,11.3712998
inst_700commods_48_5.txt,0.00873507,100.3562742
inst_700commods_6_1.txt,0.005516369,2.389359201
inst_700commods_6_2.txt,0.005905463,3.3430705
inst_700commods_6_3.txt,0.006899579,2.8262327
inst_700commods_6_4.txt,0.009467387,3.280105
inst_700commods_6_5.txt,0.00177879,1.1430221
inst_750commods_12_1.txt,0.005387378,0.9848245
inst_750commods_12_2.txt,0.005165066,3.1892445
inst_750commods_12_3.txt,0.005995464,1.736398
inst_750commods_12_4.txt,0.004412021,3.1024234
inst_750commods_12_5.txt,0.007647148,1.1937642
inst_750commods_18_1.txt,0.005054447,1.0164801
inst_750commods_18_2.txt,0.006062522,3.0289496
inst_750commods_18_3.txt,0.008724578,1.3112824
inst_750commods_18_4.txt,0.004007506,3.1749835
inst_750commods_18_5.txt,0.008738913,3.157126
inst_750commods_24_1.txt,0.008072266,28.8499158
inst_750commods_24_2.txt,0.00793352,104.8783587
inst_750commods_24_3.txt,0.009067888,72.5960411
inst_750commods_24_4.txt,0.009722144,108.5905719
inst_750commods_24_5.txt,0.009982363,147.7970262
inst_750commods_30_1.txt,0.008627139,52.5437804
inst_750commods_30_2.txt,0.009778017,58.593435
inst_750commods_30_3.txt,0.006971651,318.9224805
inst_750commods_30_4.txt,0.00977112,59.3477442
inst_750commods_30_5.txt,0.008862596,77.2791647
inst_750commods_36_1.txt,0.008263459,42.5151087
inst_750commods_36_2.txt,0.00946658,56.9455237
inst_750commods_36_3.txt,0.005752788,47.189538
inst_750commods_36_4.txt,0.009014969,204.1837395
inst_750commods_36_5.txt,0.006610177,29.8293497
inst_750commods_42_1.txt,0.009693282,170.5567108
inst_750commods_42_2.txt,0.005885993,92.4396545
inst_750commods_42_3.txt,0.008980215,636.3031845
inst_750commods_42_4.txt,0.008296549,61.647907
inst_750commods_42_5.txt,0.007652792,45.9975528
inst_750commods_48_1.txt,0.004606581,28.6738685
inst_750commods_48_2.txt,0.009417243,86.5370275
inst_750commods_48_3.txt,0.005069454,37.5857151
inst_750commods_48_4.txt,0.008736782,97.8184057
inst_750commods_48_5.txt,0.005738539,49.1113939
inst_750commods_6_1.txt,0.002634761,1.0730363
inst_750commods_6_2.txt,0.004630351,0.9949303
inst_750commods_6_3.txt,0.00541219,0.8817288
inst_750commods_6_4.txt,0.006979951,2.9794243
inst_750commods_6_5.txt,0.007158509,0.9533078
